Distance_(pixels),Gray_Value
900,2.333
901,2.085
902,2.154
903,2.368
904,2.333
905,2.419
906,2.752
907,3.026
908,3.299
909,3.256
910,3.145
911,2.949
912,2.863
913,2.880
914,3.077
915,3.504
916,3.838
917,4.137
918,4.060
919,4.009
920,4.171
921,4.291
922,5.162
923,6.308
924,7.402
925,8.487
926,9.581
927,10.769
928,12.564
929,14.974
930,19.103
931,22.573
932,24.974
933,26.821
934,28.205
935,28.863
936,27.205
937,24.376
938,20.821
939,17.513
940,14.564
941,11.932
942,9.256
943,7.538
944,6.427
945,5.880
946,5.316
947,4.393
948,3.547
949,2.991
950,2.778
951,2.726
952,3.026
953,3.137
954,3.316
955,3.179
956,3.137
957,3.120
958,3.017
959,2.974
960,2.786
961,2.991
962,3.137
963,3.274
964,3.590
965,3.667
966,3.504
967,3.504
968,3.564
969,3.376
970,3.068
971,2.872
972,2.863
973,2.872
974,2.855
975,2.829
976,3.197
977,3.436
978,3.846
979,4.462
980,4.513
981,4.632
982,4.256
983,4.239
984,3.880
985,3.829
986,3.769
987,3.504
988,3.291
989,2.966
990,2.650
991,2.684
992,2.419
993,2.368
994,2.359
995,2.479
996,2.530
997,2.453
998,2.333
999,2.282
1000,2.248
1001,2.521
1002,3.111
1003,3.496
1004,3.795
1005,3.872
1006,4.043
1007,4.214
1008,3.897
1009,3.949
1010,3.564
1011,3.376
1012,3.632
1013,3.684
1014,4.000
1015,5.154
1016,6.692
1017,8.761
1018,10.496
1019,12.214
1020,13.795
1021,15.863
1022,19.282
1023,25.000
1024,31.615
1025,36.974
1026,43.479
1027,47.915
1028,49.060
1029,48.248
1030,47.761
1031,47.248
1032,46.966
1033,43.863
1034,38.812
1035,33.333
1036,27.863
1037,20.256
1038,13.051
1039,9.547
1040,8.197
1041,7.410
1042,6.444
1043,5.274
1044,4.179
1045,3.573
1046,3.556
1047,3.547
1048,3.632
1049,3.393
1050,3.094
1051,2.889
1052,2.803
1053,2.812
1054,3.051
1055,3.333
1056,3.949
1057,4.496
1058,4.385
1059,4.197
1060,3.556
1061,3.513
1062,3.274
1063,3.325
1064,3.368
1065,3.598
1066,4.068
1067,4.513
1068,4.821
1069,4.974
1070,5.453
1071,5.513
1072,4.769
1073,4.128
1074,3.641
1075,3.265
1076,3.256
1077,3.060
1078,2.932
1079,3.162
1080,3.017
1081,2.991
1082,3.368
1083,3.607
1084,4.094
1085,4.308
1086,4.701
1087,5.000
1088,5.564
1089,6.034
1090,6.641
1091,7.085
1092,5.675
1093,5.231
1094,4.812
1095,4.684
1096,4.769
1097,4.325
1098,4.026
1099,3.829
1100,3.872
1101,3.966
1102,4.573
1103,4.821
1104,5.188
1105,5.726
1106,6.453
1107,7.564
1108,9.513
1109,11.735
1110,14.897
1111,18.265
1112,21.675
1113,23.598
1114,24.222
1115,25.709
1116,28.667
1117,32.009
1118,37.821
1119,43.855
1120,49.650
1121,55.359
1122,58.504
1123,59.915
1124,62.359
1125,62.026
1126,61.154
1127,59.256
1128,55.675
1129,49.231
1130,37.821
1131,29.761
1132,26.675
1133,26.470
1134,27.692
1135,26.812
1136,24.248
1137,19.957
1138,15.350
1139,13.256
1140,13.094
1141,14.752
1142,18.410
1143,20.128
1144,19.350
1145,17.923
1146,15.641
1147,12.530
1148,10.410
1149,9.846
1150,10.410
1151,10.547
1152,10.957
1153,10.667
1154,10.513
1155,10.179
1156,9.812
1157,9.282
1158,9.650
1159,10.735
1160,11.274
1161,12.205
1162,13.205
1163,12.880
1164,11.897
1165,10.915
1166,9.479
1167,6.991
1168,5.060
1169,4.419
1170,4.419
1171,4.538
1172,4.829
1173,5.145
1174,5.641
1175,6.094
1176,5.479
1177,5.179
1178,4.897
1179,4.974
1180,5.034
1181,5.060
1182,5.239
1183,5.479
1184,5.496
1185,5.162
1186,4.701
1187,4.026
1188,3.444
1189,3.299
1190,3.333
1191,3.427
1192,3.923
1193,4.821
1194,5.239
1195,5.949
1196,6.598
1197,6.872
1198,7.325
1199,7.043
1200,6.863
1201,8.043
1202,9.923
1203,11.154
1204,11.906
1205,12.803
1206,14.487
1207,16.359
1208,17.308
1209,18.256
1210,19.564
1211,21.043
1212,24.496
1213,29.419
1214,36.299
1215,43.179
1216,49.162
1217,52.812
1218,54.120
1219,54.838
1220,55.274
1221,54.120
1222,51.915
1223,49.094
1224,44.265
1225,38.761
1226,34.709
1227,32.658
1228,32.778
1229,31.615
1230,28.974
1231,24.966
1232,17.556
1233,12.838
1234,10.940
1235,11.034
1236,12.556
1237,13.205
1238,13.256
1239,12.248
1240,10.615
1241,9.538
1242,8.308
1243,7.838
1244,7.949
1245,8.145
1246,8.846
1247,9.385
1248,9.863
1249,11.333
1250,12.479
1251,14.436
1252,17.393
1253,19.436
1254,18.085
1255,16.701
1256,14.188
1257,13.385
1258,13.769
1259,14.350
1260,14.453
1261,14.436
1262,14.650
1263,14.453
1264,14.103
1265,15.590
1266,17.513
1267,18.051
1268,18.726
1269,19.607
1270,19.479
1271,18.077
1272,15.316
1273,11.573
1274,8.615
1275,6.966
1276,6.795
1277,7.650
1278,9.650
1279,10.949
1280,11.709
1281,10.598
1282,9.222
1283,8.179
1284,7.556
1285,7.077
1286,7.239
1287,7.487
1288,7.726
1289,8.735
1290,9.897
1291,11.530
1292,12.017
1293,11.342
1294,10.598
1295,10.342
1296,10.650
1297,12.538
1298,15.624
1299,17.470
1300,17.940
1301,17.889
1302,15.103
1303,12.607
1304,11.248
1305,10.641
1306,11.128
1307,13.214
1308,16.462
1309,18.385
1310,18.000
1311,16.350
1312,13.863
1313,12.282
1314,10.812
1315,9.615
1316,8.265
1317,7.598
1318,7.231
1319,6.342
1320,5.487
1321,4.709
1322,4.111
1323,4.162
1324,4.299
1325,4.504
1326,5.214
1327,6.094
1328,6.692
1329,7.291
1330,7.949
1331,8.650
1332,8.786
1333,8.427
1334,8.026
1335,7.453
1336,6.829
1337,6.735
1338,6.325
1339,6.462
1340,7.308
1341,8.222
1342,10.085
1343,12.786
1344,16.256
1345,19.145
1346,21.692
1347,23.573
1348,23.137
1349,22.692
1350,22.504
1351,21.957
1352,22.325
1353,21.855
1354,20.974
1355,19.256
1356,17.359
1357,16.274
1358,16.513
1359,17.897
1360,20.504
1361,22.744
1362,24.342
1363,23.889
1364,21.786
1365,20.171
1366,19.077
1367,20.214
1368,24.838
1369,31.179
1370,35.521
1371,37.932
1372,37.846
1373,36.761
1374,32.632
1375,29.573
1376,28.128
1377,25.675
1378,23.607
1379,23.162
1380,25.744
1381,28.863
1382,32.718
1383,39.709
1384,47.658
1385,54.556
1386,58.863
1387,61.385
1388,65.496
1389,67.880
1390,66.581
1391,64.650
1392,62.735
1393,62.214
1394,63.222
1395,63.265
1396,64.436
1397,67.658
1398,69.359
1399,73.726
1400,88.889
1401,110.479
1402,121.487
1403,128.812
1404,131.632
1405,129.256
1406,124.179
1407,119.205
1408,108.094
1409,90.983
1410,71.436
1411,59.744
1412,50.932
1413,45.966
1414,43.051
1415,43.692
1416,47.077
1417,50.410
1418,52.111
1419,51.068
1420,51.880
1421,50.573
1422,45.231
1423,38.000
1424,30.009
1425,26.120
1426,23.735
1427,23.838
1428,26.419
1429,30.547
1430,34.111
1431,35.350
1432,34.308
1433,32.103
1434,29.487
1435,26.154
1436,23.932
1437,22.863
1438,23.564
1439,25.846
1440,28.940
1441,30.855
