Distance_(pixels),Gray_Value
1564,148.889
1565,147.437
1566,147.427
1567,146.838
1568,144.590
1569,142.356
1570,140.774
1571,138.057
1572,134.063
1573,133.576
1574,135.484
1575,134.729
1576,134.374
1577,135.386
1578,137.230
1579,136.953
1580,135.820
1581,132.929
1582,130.136
1583,129.090
1584,128.734
1585,127.906
1586,127.944
1587,127.465
1588,127.531
1589,128.534
1590,129.365
1591,128.798
1592,128.141
1593,127.743
1594,125.727
1595,122.729
1596,120.444
1597,119.175
1598,117.382
1599,117.645
1600,117.842
1601,115.501
1602,111.804
1603,110.613
1604,108.821
1605,107.209
1606,105.578
1607,105.369
1608,104.149
1609,101.921
1610,98.036
1611,95.590
1612,92.654
1613,91.521
1614,91.667
1615,90.449
1616,89.941
1617,90.414
1618,91.230
1619,92.184
1620,93.501
1621,92.127
1622,91.175
1623,91.085
1624,89.166
1625,87.896
1626,87.537
1627,87.270
1628,87.649
1629,89.126
1630,90.396
1631,90.364
1632,88.849
1633,89.125
1634,89.170
1635,89.176
1636,89.320
1637,90.364
1638,91.014
1639,91.117
1640,90.687
1641,90.667
1642,93.275
1643,94.903
1644,94.909
1645,95.314
1646,96.514
1647,95.691
1648,94.926
1649,95.643
1650,95.423
1651,96.474
1652,96.400
1653,97.902
1654,96.493
1655,95.900
1656,95.667
1657,95.525
1658,95.711
1659,97.075
1660,97.708
1661,98.736
1662,98.363
1663,99.390
1664,98.196
1665,96.994
1666,100.746
1667,100.336
1668,98.433
1669,97.682
1670,96.889
1671,95.870
1672,95.916
1673,95.339
1674,94.667
1675,94.667
1676,95.299
1677,98.907
1678,98.629
1679,96.305
1680,96.497
1681,95.485
1682,92.183
1683,89.353
1684,90.574
1685,90.546
1686,89.095
1687,87.827
1688,86.789
1689,86.117
1690,84.985
1691,84.149
1692,82.777
1693,82.498
1694,83.109
1695,84.638
1696,83.687
1697,80.555
1698,79.629
1699,79.059
1700,77.301
1701,75.356
1702,73.870
1703,73.626
1704,72.623
1705,72.589
1706,72.896
1707,71.459
1708,67.887
1709,66.281
1710,65.193
1711,63.934
1712,63.167
1713,62.964
1714,61.995
1715,60.584
1716,60.062
1717,58.504
1718,56.617
1719,55.942
1720,56.769
1721,57.230
1722,55.559
1723,54.537
1724,54.104
1725,54.738
1726,55.715
1727,53.078
1728,53.317
1729,53.079
1730,50.781
1731,48.679
1732,46.870
1733,46.683
1734,46.667
1735,46.511
1736,46.107
1737,46.994
1738,45.935
1739,43.939
1740,43.775
1741,44.336
1742,45.518
1743,45.899
1744,45.338
1745,44.959
1746,44.604
1747,45.976
1748,45.793
1749,46.202
1750,46.333
1751,46.710
1752,48.338
1753,49.664
1754,50.663
1755,50.823
1756,51.005
1757,50.589
1758,48.016
1759,46.033
1760,44.577
1761,44.865
1762,45.396
1763,46.769
1764,47.250
1765,48.408
1766,47.485
1767,46.167
1768,47.373
1769,48.160
1770,49.276
1771,49.076
1772,48.558
1773,48.118
1774,48.854
1775,48.547
1776,47.488
1777,45.472
1778,43.700
1779,43.008
1780,42.825
1781,41.463
1782,38.763
1783,36.607
1784,35.270
1785,33.537
1786,31.349
1787,28.363
1788,25.654
1789,25.000
1790,25.000
1791,24.386
1792,24.000
1793,24.083
1794,24.929
1795,25.000
1796,24.703
1797,23.443
1798,22.184
1799,22.409
1800,22.785
1801,24.197
1802,25.263
1803,25.674
1804,25.765
1805,25.613
1806,24.306
1807,23.767
1808,23.457
1809,24.663
1810,26.152
1811,26.531
1812,27.116
1813,29.970
1814,32.044
1815,32.434
1816,34.873
1817,38.705
1818,42.595
1819,47.111
1820,52.493
1821,55.806
1822,58.642
1823,61.326
1824,62.704
1825,64.513
1826,68.346
1827,70.086
1828,69.892
1829,70.446
1830,70.714
1831,71.416
1832,73.263
1833,74.512
1834,75.666
1835,76.410
1836,77.984
1837,79.393
1838,80.237
1839,82.619
1840,86.338
1841,90.063
1842,90.815
1843,90.831
1844,90.631
1845,91.000
1846,91.898
1847,92.333
1848,92.399
1849,92.440
1850,91.518
1851,91.051
1852,92.262
1853,92.787
1854,93.606
1855,93.742
1856,93.581
1857,93.827
1858,92.632
1859,91.103
1860,90.621
1861,91.678
1862,91.499
1863,92.228
1864,92.000
1865,91.797
1866,91.637
1867,91.511
1868,91.333
1869,91.071
1870,90.328
1871,89.662
1872,90.261
1873,90.633
1874,89.733
1875,89.256
1876,89.642
1877,90.000
1878,89.880
1879,89.666
1880,89.904
1881,89.374
1882,88.521
1883,87.298
1884,87.716
1885,87.215
1886,86.494
1887,86.498
1888,85.536
1889,85.555
1890,85.741
1891,84.122
1892,81.610
1893,80.603
1894,80.901
1895,79.746
1896,77.221
1897,74.338
1898,72.629
1899,71.005
1900,66.990
1901,64.131
1902,62.072
1903,59.765
1904,59.257
1905,57.823
1906,55.877
1907,53.704
1908,49.707
1909,45.144
1910,39.625
1911,35.065
1912,31.786
1913,29.367
1914,29.786
1915,28.974
1916,26.038
1917,24.183
1918,22.460
1919,19.711
1920,17.925
1921,17.351
1922,17.483
1923,17.137
1924,17.660
1925,17.219
1926,16.667
1927,16.667
1928,16.667
1929,16.667
1930,16.667
1931,16.317
1932,15.738
1933,16.473
1934,16.953
1935,16.671
1936,16.827
1937,17.155
1938,17.944
1939,17.068
1940,16.154
1941,15.986
1942,15.922
1943,16.114
1944,18.403
1945,19.127
1946,18.964
1947,17.675
1948,18.360
1949,19.017
1950,19.407
1951,20.403
1952,21.327
1953,22.782
1954,23.545
1955,23.461
1956,26.958
1957,28.548
1958,29.837
1959,32.181
1960,35.082
1961,36.644
1962,38.188
1963,38.579
1964,39.965
1965,42.634
1966,43.599
1967,43.396
1968,43.873
1969,43.683
1970,45.651
1971,48.181
1972,51.002
1973,52.243
1974,52.231
1975,53.225
1976,54.145
1977,55.588
1978,56.381
1979,54.779
1980,53.699
1981,53.441
1982,53.496
1983,54.050
1984,57.356
1985,57.696
1986,54.330
1987,52.729
1988,53.120
1989,55.510
1990,58.522
1991,58.375
1992,57.003
1993,57.575
1994,58.192
1995,58.451
1996,57.626
1997,56.310
1998,55.647
1999,55.963
2000,54.471
2001,53.395
2002,53.896
2003,53.732
2004,52.718
2005,50.929
2006,49.961
2007,48.839
2008,47.088
2009,47.056
2010,46.701
2011,45.335
2012,45.127
2013,44.125
2014,42.369
2015,40.227
2016,37.306
2017,34.555
2018,33.477
2019,33.361
2020,32.162
2021,32.855
2022,33.059
2023,31.142
2024,29.918
2025,27.160
2026,22.626
2027,20.301
2028,20.161
2029,20.285
2030,18.908
2031,17.269
2032,16.540
2033,14.832
2034,12.730
2035,13.206
2036,14.154
2037,15.569
2038,14.761
2039,13.888
2040,13.745
2041,13.617
2042,14.000
2043,14.000
2044,13.912
2045,13.147
2046,14.252
2047,15.661
2048,16.640
2049,15.694
2050,15.337
2051,14.477
2052,14.437
2053,15.450
2054,16.123
2055,17.123
2056,17.343
2057,16.667
2058,16.912
2059,18.300
2060,20.200
2061,21.301
2062,21.856
2063,22.665
2064,23.933
2065,24.929
2066,25.525
