Temps___(ms):,	Pos.cal.(um):,	Tension_(mV):	
 6.8906488E+7,	-3.3005421E+0,	 1.9948949E+2	
 6.8906628E+7,	-3.2904177E+0,	 1.9943087E+2	
 6.8906768E+7,	-3.2802934E+0,	 1.9943087E+2	
 6.8906908E+7,	-3.2701690E+0,	 1.9926722E+2	
 6.8907048E+7,	-3.2600446E+0,	 1.9944797E+2	
 6.8907188E+7,	-3.2499203E+0,	 1.9948949E+2	
 6.8907328E+7,	-3.2397959E+0,	 1.9942354E+2	
 6.8907468E+7,	-3.2296716E+0,	 1.9947240E+2	
 6.8907608E+7,	-3.2195472E+0,	 1.9937958E+2	
 6.8907748E+7,	-3.2094228E+0,	 1.9951636E+2	
 6.8907888E+7,	-3.1992985E+0,	 1.9945529E+2	
 6.8908028E+7,	-3.1891741E+0,	 1.9956033E+2	
 6.8908168E+7,	-3.1790497E+0,	 1.9965315E+2	
 6.8908308E+7,	-3.1689254E+0,	 1.9958475E+2	
 6.8908448E+7,	-3.1588010E+0,	 1.9967757E+2	
 6.8908588E+7,	-3.1486767E+0,	 1.9964337E+2	
 6.8908728E+7,	-3.1385523E+0,	 1.9975086E+2	
 6.8908868E+7,	-3.1284279E+0,	 1.9986321E+2	
 6.8909008E+7,	-3.1183036E+0,	 1.9981192E+2	
 6.8909148E+7,	-3.1081792E+0,	 1.9984612E+2	
 6.8909288E+7,	-3.0980548E+0,	 1.9985344E+2	
 6.8909428E+7,	-3.0879305E+0,	 1.9994381E+2	
 6.8909568E+7,	-3.0778061E+0,	 2.0002687E+2	
 6.8909708E+7,	-3.0676818E+0,	 2.0009769E+2	
 6.8909848E+7,	-3.0575574E+0,	 2.0007083E+2	
 6.8909988E+7,	-3.0474330E+0,	 2.0015632E+2	
 6.8910128E+7,	-3.0373087E+0,	 2.0023938E+2	
 6.8910268E+7,	-3.0271843E+0,	 2.0037615E+2	
 6.8910408E+7,	-3.0170599E+0,	 2.0027357E+2	
 6.8910548E+7,	-3.0069356E+0,	 2.0032975E+2	
 6.8910688E+7,	-2.9968112E+0,	 2.0035173E+2	
 6.8910828E+7,	-2.9866869E+0,	 2.0039815E+2	
 6.8910968E+7,	-2.9765625E+0,	 2.0044944E+2	
 6.8911108E+7,	-2.9664381E+0,	 2.0035906E+2	
 6.8911248E+7,	-2.9563138E+0,	 2.0053004E+2	
 6.8911388E+7,	-2.9461894E+0,	 2.0055935E+2	
 6.8911528E+7,	-2.9360651E+0,	 2.0051539E+2	
 6.8911668E+7,	-2.9259407E+0,	 2.0070590E+2	
 6.8911808E+7,	-2.9158163E+0,	 2.0056668E+2	
 6.8911948E+7,	-2.9056920E+0,	 2.0057401E+2	
 6.8912088E+7,	-2.8955676E+0,	 2.0059110E+2	
 6.8912228E+7,	-2.8854432E+0,	 2.0061553E+2	
 6.8912368E+7,	-2.8753189E+0,	 2.0062286E+2	
 6.8912508E+7,	-2.8651945E+0,	 2.0050561E+2	
 6.8912648E+7,	-2.8550702E+0,	 2.0059599E+2	
 6.8912788E+7,	-2.8449458E+0,	 2.0049340E+2	
 6.8912928E+7,	-2.8348214E+0,	 2.0042501E+2	
 6.8913068E+7,	-2.8246971E+0,	 2.0041768E+2	
 6.8913208E+7,	-2.8145727E+0,	 2.0033708E+2	
 6.8913348E+7,	-2.8044483E+0,	 2.0028822E+2	
 6.8913488E+7,	-2.7943240E+0,	 2.0013189E+2	
 6.8913628E+7,	-2.7841996E+0,	 2.0004885E+2	
 6.8913768E+7,	-2.7740753E+0,	 2.0003907E+2	
 6.8913908E+7,	-2.7639509E+0,	 1.9990474E+2	
 6.8914048E+7,	-2.7538265E+0,	 1.9986321E+2	
 6.8914188E+7,	-2.7437022E+0,	 1.9965070E+2	
 6.8914328E+7,	-2.7335778E+0,	 1.9960673E+2	
 6.8914468E+7,	-2.7234534E+0,	 1.9949438E+2	
 6.8914608E+7,	-2.7133291E+0,	 1.9944064E+2	
 6.8914748E+7,	-2.7032047E+0,	 1.9945773E+2	
 6.8914888E+7,	-2.6930804E+0,	 1.9936736E+2	
 6.8915028E+7,	-2.6829560E+0,	 1.9938447E+2	
 6.8915168E+7,	-2.6728316E+0,	 1.9938447E+2	
 6.8915308E+7,	-2.6627073E+0,	 1.9930874E+2	
 6.8915448E+7,	-2.6525829E+0,	 1.9935516E+2	
 6.8915588E+7,	-2.6424585E+0,	 1.9922569E+2	
 6.8915728E+7,	-2.6323342E+0,	 1.9930385E+2	
 6.8915868E+7,	-2.6222098E+0,	 1.9929898E+2	
 6.8916008E+7,	-2.6120855E+0,	 1.9930141E+2	
 6.8916148E+7,	-2.6019611E+0,	 1.9932829E+2	
 6.8916288E+7,	-2.5918367E+0,	 1.9939667E+2	
 6.8916428E+7,	-2.5817124E+0,	 1.9942111E+2	
 6.8916568E+7,	-2.5715880E+0,	 1.9945042E+2	
 6.8916708E+7,	-2.5614636E+0,	 1.9938202E+2	
 6.8916848E+7,	-2.5513393E+0,	 1.9951880E+2	
 6.8916988E+7,	-2.5412149E+0,	 1.9953102E+2	
 6.8917128E+7,	-2.5310906E+0,	 1.9954079E+2	
 6.8917268E+7,	-2.5209662E+0,	 1.9958964E+2	
 6.8917408E+7,	-2.5108418E+0,	 1.9970199E+2	
 6.8917548E+7,	-2.5007175E+0,	 1.9985832E+2	
 6.8917688E+7,	-2.4905931E+0,	 1.9997801E+2	
 6.8917828E+7,	-2.4804687E+0,	 2.0009769E+2	
 6.8917968E+7,	-2.4703444E+0,	 2.0019540E+2	
 6.8918108E+7,	-2.4602200E+0,	 2.0025402E+2	
 6.8918248E+7,	-2.4500957E+0,	 2.0046408E+2	
 6.8918388E+7,	-2.4399713E+0,	 2.0054226E+2	
 6.8918528E+7,	-2.4298469E+0,	 2.0076697E+2	
 6.8918668E+7,	-2.4197226E+0,	 2.0073523E+2	
 6.8918808E+7,	-2.4095982E+0,	 2.0088422E+2	
 6.8918948E+7,	-2.3994739E+0,	 2.0094529E+2	
 6.8919088E+7,	-2.3893495E+0,	 2.0097215E+2	
 6.8919228E+7,	-2.3792251E+0,	 2.0107229E+2	
 6.8919368E+7,	-2.3691008E+0,	 2.0116268E+2	
 6.8919508E+7,	-2.3589764E+0,	 2.0117244E+2	
 6.8919648E+7,	-2.3488520E+0,	 2.0121886E+2	
 6.8919788E+7,	-2.3387277E+0,	 2.0106742E+2	
 6.8919928E+7,	-2.3286033E+0,	 2.0109428E+2	
 6.8920068E+7,	-2.3184790E+0,	 2.0095994E+2	
 6.8920208E+7,	-2.3083546E+0,	 2.0085736E+2	
 6.8920348E+7,	-2.2982302E+0,	 2.0082316E+2	
 6.8920488E+7,	-2.2881059E+0,	 2.0077918E+2	
 6.8920628E+7,	-2.2779815E+0,	 2.0078652E+2	
 6.8920768E+7,	-2.2678571E+0,	 2.0066194E+2	
 6.8920908E+7,	-2.2577328E+0,	 2.0057890E+2	
 6.8921048E+7,	-2.2476084E+0,	 2.0053981E+2	
 6.8921188E+7,	-2.2374841E+0,	 2.0031264E+2	
 6.8921328E+7,	-2.2273597E+0,	 2.0030533E+2	
 6.8921468E+7,	-2.2172353E+0,	 2.0004396E+2	
 6.8921608E+7,	-2.2071110E+0,	 1.9985832E+2	
 6.8921748E+7,	-2.1969866E+0,	 1.9987787E+2	
 6.8921888E+7,	-2.1868622E+0,	 1.9965070E+2	
 6.8922028E+7,	-2.1767379E+0,	 1.9961895E+2	
 6.8922168E+7,	-2.1666135E+0,	 1.9941866E+2	
 6.8922308E+7,	-2.1564892E+0,	 1.9926967E+2	
