Temps___(ms):,	Pos.cal.(um):,	Tension_(mV):	
 7.2683330E+7,	-4.3773693E+2,	 5.6257206E+2	
 7.2683470E+7,	-4.3723071E+2,	 5.3916460E+2	
 7.2683610E+7,	-4.3672449E+2,	 5.5244750E+2	
 7.2683750E+7,	-4.3621827E+2,	 5.7444304E+2	
 7.2683890E+7,	-4.3571205E+2,	 5.5061799E+2	
 7.2684030E+7,	-4.3520584E+2,	 5.5904496E+2	
 7.2684170E+7,	-4.3469962E+2,	 5.7097214E+2	
 7.2684310E+7,	-4.3419340E+2,	 5.5486321E+2	
 7.2684450E+7,	-4.3368718E+2,	 5.7251585E+2	
 7.2684590E+7,	-4.3318096E+2,	 5.8778453E+2	
 7.2684730E+7,	-4.3267474E+2,	 5.5501223E+2	
 7.2684870E+7,	-4.3216853E+2,	 5.3462869E+2	
 7.2685010E+7,	-4.3166231E+2,	 5.5122375E+2	
 7.2685150E+7,	-4.3115609E+2,	 5.7238883E+2	
 7.2685290E+7,	-4.3064987E+2,	 5.7578403E+2	
 7.2685430E+7,	-4.3014365E+2,	 5.6900340E+2	
 7.2685570E+7,	-4.2963744E+2,	 5.8524424E+2	
 7.2685710E+7,	-4.2913122E+2,	 5.8421344E+2	
 7.2685850E+7,	-4.2862500E+2,	 5.3853440E+2	
 7.2685990E+7,	-4.2811878E+2,	 5.2222520E+2	
 7.2686130E+7,	-4.2761256E+2,	 5.6130677E+2	
 7.2686270E+7,	-4.2710635E+2,	 5.6926477E+2	
 7.2686410E+7,	-4.2660013E+2,	 5.3158033E+2	
 7.2686550E+7,	-4.2609391E+2,	 5.4327798E+2	
 7.2686690E+7,	-4.2558769E+2,	 5.6472641E+2	
 7.2686830E+7,	-4.2508147E+2,	 5.7592082E+2	
 7.2686970E+7,	-4.2457526E+2,	 6.0349780E+2	
 7.2687110E+7,	-4.2406904E+2,	 5.9181726E+2	
 7.2687250E+7,	-4.2356282E+2,	 5.9350020E+2	
 7.2687390E+7,	-4.2305660E+2,	 6.1340988E+2	
 7.2687530E+7,	-4.2255038E+2,	 5.6229359E+2	
 7.2687670E+7,	-4.2204416E+2,	 5.6792378E+2	
 7.2687810E+7,	-4.2153795E+2,	 5.8939421E+2	
 7.2687950E+7,	-4.2103173E+2,	 5.8479482E+2	
 7.2688090E+7,	-4.2052551E+2,	 6.0295308E+2	
 7.2688230E+7,	-4.2001929E+2,	 5.6692231E+2	
 7.2688370E+7,	-4.1951307E+2,	 5.7553494E+2	
 7.2688510E+7,	-4.1900686E+2,	 5.8682704E+2	
 7.2688650E+7,	-4.1850064E+2,	 6.1139715E+2	
 7.2688790E+7,	-4.1799442E+2,	 5.8667564E+2	
 7.2688930E+7,	-4.1748820E+2,	 5.1598191E+2	
 7.2689070E+7,	-4.1698198E+2,	 4.9726674E+2	
 7.2689210E+7,	-4.1647577E+2,	 5.3095508E+2	
 7.2689350E+7,	-4.1596955E+2,	 5.2400827E+2	
 7.2689490E+7,	-4.1546333E+2,	 5.4318511E+2	
 7.2689630E+7,	-4.1495711E+2,	 6.0010505E+2	
 7.2689770E+7,	-4.1445089E+2,	 5.6321204E+2	
 7.2689910E+7,	-4.1394467E+2,	 5.6281143E+2	
 7.2690050E+7,	-4.1343846E+2,	 5.8916217E+2	
 7.2690190E+7,	-4.1293224E+2,	 5.2270150E+2	
 7.2690330E+7,	-4.1242602E+2,	 5.3178555E+2	
 7.2690470E+7,	-4.1191980E+2,	 5.2170736E+2	
 7.2690610E+7,	-4.1141358E+2,	 4.9393013E+2	
 7.2690750E+7,	-4.1090737E+2,	 5.5351245E+2	
 7.2690890E+7,	-4.1040115E+2,	 5.8250850E+2	
 7.2691030E+7,	-4.0989493E+2,	 5.4340744E+2	
 7.2691170E+7,	-4.0938871E+2,	 5.7493162E+2	
 7.2691310E+7,	-4.0888249E+2,	 6.3083047E+2	
 7.2691450E+7,	-4.0837628E+2,	 6.1494380E+2	
 7.2691590E+7,	-4.0787006E+2,	 5.4504883E+2	
 7.2691730E+7,	-4.0736384E+2,	 5.3275526E+2	
 7.2691870E+7,	-4.0685762E+2,	 5.6007814E+2	
 7.2692010E+7,	-4.0635140E+2,	 5.2454811E+2	
 7.2692150E+7,	-4.0584518E+2,	 5.0608206E+2	
 7.2692290E+7,	-4.0533897E+2,	 5.2378601E+2	
 7.2692430E+7,	-4.0483275E+2,	 5.1605278E+2	
 7.2692570E+7,	-4.0432653E+2,	 5.7852954E+2	
 7.2692710E+7,	-4.0382031E+2,	 6.1765510E+2	
 7.2692850E+7,	-4.0331409E+2,	 5.6356132E+2	
