Temps___(ms):,	Pos.cal.(um):,	 Tension_(mV):	
 7.0477545E+7,	-7.5527742E+0,	 1.3201857E+3	
 7.0477625E+7,	-7.5021524E+0,	 1.3182511E+3	
 7.0477705E+7,	-7.4515306E+0,	 1.3141329E+3	
 7.0477785E+7,	-7.4009088E+0,	 1.3118466E+3	
 7.0477865E+7,	-7.3502870E+0,	 1.3119053E+3	
 7.0477945E+7,	-7.2996652E+0,	 1.3147290E+3	
 7.0478025E+7,	-7.2490434E+0,	 1.3194187E+3	
 7.0478105E+7,	-7.1984216E+0,	 1.3200978E+3	
 7.0478185E+7,	-7.1477997E+0,	 1.3160137E+3	
 7.0478269E+7,	-7.0971779E+0,	 1.3122619E+3	
 7.0478349E+7,	-7.0465561E+0,	 1.3111774E+3	
 7.0478433E+7,	-6.9959343E+0,	 1.3137665E+3	
 7.0478513E+7,	-6.9453125E+0,	 1.3178897E+3	
 7.0478593E+7,	-6.8946907E+0,	 1.3211285E+3	
 7.0478673E+7,	-6.8440689E+0,	 1.3214070E+3	
 7.0478753E+7,	-6.7934471E+0,	 1.3187592E+3	
 7.0478833E+7,	-6.7428253E+0,	 1.3149048E+3	
 7.0478913E+7,	-6.6922034E+0,	 1.3119590E+3	
 7.0478993E+7,	-6.6415816E+0,	 1.3121446E+3	
 7.0479073E+7,	-6.5909598E+0,	 1.3167856E+3	
 7.0479153E+7,	-6.5403380E+0,	 1.3212898E+3	
 7.0479233E+7,	-6.4897162E+0,	 1.3191500E+3	
 7.0479313E+7,	-6.4390944E+0,	 1.3140010E+3	
 7.0479393E+7,	-6.3884726E+0,	 1.3115243E+3	
 7.0479474E+7,	-6.3378508E+0,	 1.3138545E+3	
 7.0479554E+7,	-6.2872290E+0,	 1.3194627E+3	
 7.0479634E+7,	-6.2366071E+0,	 1.3215292E+3	
 7.0479714E+7,	-6.1859853E+0,	 1.3180020E+3	
 7.0479794E+7,	-6.1353635E+0,	 1.3130045E+3	
 7.0479874E+7,	-6.0847417E+0,	 1.3105032E+3	
 7.0479954E+7,	-6.0341199E+0,	 1.3114363E+3	
 7.0480034E+7,	-5.9834981E+0,	 1.3162628E+3	
 7.0480114E+7,	-5.9328763E+0,	 1.3209478E+3	
 7.0480194E+7,	-5.8822545E+0,	 1.3199854E+3	
 7.0480274E+7,	-5.8316327E+0,	 1.3145823E+3	
 7.0480354E+7,	-5.7810108E+0,	 1.3113385E+3	
 7.0480434E+7,	-5.7303890E+0,	 1.3109429E+3	
 7.0480517E+7,	-5.6797672E+0,	 1.3142452E+3	
 7.0480597E+7,	-5.6291454E+0,	 1.3189106E+3	
 7.0480677E+7,	-5.5785236E+0,	 1.3223205E+3	
 7.0480757E+7,	-5.5279018E+0,	 1.3219199E+3	
 7.0480837E+7,	-5.4772800E+0,	 1.3187299E+3	
 7.0480917E+7,	-5.4266582E+0,	 1.3131706E+3	
 7.0480997E+7,	-5.3760364E+0,	 1.3095946E+3	
 7.0481077E+7,	-5.3254145E+0,	 1.3110894E+3	
 7.0481157E+7,	-5.2747927E+0,	 1.3175037E+3	
 7.0481237E+7,	-5.2241709E+0,	 1.3223253E+3	
 7.0481317E+7,	-5.1735491E+0,	 1.3187397E+3	
 7.0481397E+7,	-5.1229273E+0,	 1.3126723E+3	
 7.0481477E+7,	-5.0723055E+0,	 1.3099658E+3	
 7.0481557E+7,	-5.0216837E+0,	 1.3128383E+3	
 7.0481637E+7,	-4.9710619E+0,	 1.3187348E+3	
 7.0481717E+7,	-4.9204401E+0,	 1.3223449E+3	
 7.0481797E+7,	-4.8698182E+0,	 1.3185540E+3	
 7.0481877E+7,	-4.8191964E+0,	 1.3125111E+3	
