Temps___(ms):,	Pos.cal.(um):,	Tension_(mV):	
 7.2393950E+7,	-3.0373087E+0,	 6.7064488E+2	
 7.2394090E+7,	-3.0271843E+0,	 6.9671959E+2	
 7.2394230E+7,	-3.0170599E+0,	 7.1861994E+2	
 7.2394370E+7,	-3.0069356E+0,	 7.3115045E+2	
 7.2394510E+7,	-2.9968112E+0,	 7.3987299E+2	
 7.2394650E+7,	-2.9866869E+0,	 7.4666828E+2	
 7.2394790E+7,	-2.9765625E+0,	 7.4725449E+2	
 7.2394930E+7,	-2.9664381E+0,	 7.4059600E+2	
 7.2395070E+7,	-2.9563138E+0,	 7.3508304E+2	
 7.2395210E+7,	-2.9461894E+0,	 7.2525895E+2	
 7.2395350E+7,	-2.9360651E+0,	 7.1222520E+2	
 7.2395490E+7,	-2.9259407E+0,	 6.9620907E+2	
 7.2395630E+7,	-2.9158163E+0,	 6.7947483E+2	
 7.2395770E+7,	-2.9056920E+0,	 6.5982902E+2	
 7.2395910E+7,	-2.8955676E+0,	 6.4229363E+2	
 7.2396050E+7,	-2.8854432E+0,	 6.2105274E+2	
 7.2396190E+7,	-2.8753189E+0,	 5.9722030E+2	
 7.2396330E+7,	-2.8651945E+0,	 5.6444794E+2	
 7.2396470E+7,	-2.8550702E+0,	 5.3033465E+2	
 7.2396610E+7,	-2.8449458E+0,	 5.0335616E+2	
 7.2396750E+7,	-2.8348214E+0,	 4.7563264E+2	
 7.2396890E+7,	-2.8246971E+0,	 4.4318759E+2	
 7.2397030E+7,	-2.8145727E+0,	 4.1435272E+2	
 7.2397170E+7,	-2.8044483E+0,	 3.9178064E+2	
 7.2397310E+7,	-2.7943240E+0,	 3.7452614E+2	
 7.2397450E+7,	-2.7841996E+0,	 3.6890084E+2	
 7.2397590E+7,	-2.7740753E+0,	 3.7399852E+2	
 7.2397730E+7,	-2.7639509E+0,	 3.8803858E+2	
 7.2397875E+7,	-2.7538265E+0,	 4.1414019E+2	
 7.2398020E+7,	-2.7437022E+0,	 4.6795553E+2	
 7.2398160E+7,	-2.7335778E+0,	 5.2088910E+2	
 7.2398303E+7,	-2.7234534E+0,	 5.7105762E+2	
 7.2398443E+7,	-2.7133291E+0,	 6.1322421E+2	
 7.2398587E+7,	-2.7032047E+0,	 6.4082563E+2	
 7.2398727E+7,	-2.6930804E+0,	 6.7134345E+2	
 7.2398869E+7,	-2.6829560E+0,	 7.0474356E+2	
 7.2399009E+7,	-2.6728316E+0,	 7.3400587E+2	
 7.2399149E+7,	-2.6627073E+0,	 7.5617486E+2	
 7.2399289E+7,	-2.6525829E+0,	 7.6393747E+2	
 7.2399429E+7,	-2.6424585E+0,	 7.6215923E+2	
 7.2399569E+7,	-2.6323342E+0,	 7.4562287E+2	
 7.2399709E+7,	-2.6222098E+0,	 7.2345626E+2	
 7.2399849E+7,	-2.6120855E+0,	 6.8838787E+2	
 7.2399989E+7,	-2.6019611E+0,	 6.5837568E+2	
 7.2400133E+7,	-2.5918367E+0,	 5.8907181E+2	
 7.2400273E+7,	-2.5817124E+0,	 5.2313876E+2	
 7.2400413E+7,	-2.5715880E+0,	 4.8419884E+2	
 7.2400553E+7,	-2.5614636E+0,	 4.6346116E+2	
 7.2400693E+7,	-2.5513393E+0,	 4.2955056E+2	
 7.2400833E+7,	-2.5412149E+0,	 3.9159745E+2	
 7.2400977E+7,	-2.5310906E+0,	 3.6158037E+2	
 7.2401117E+7,	-2.5209662E+0,	 3.4456521E+2	
 7.2401257E+7,	-2.5108418E+0,	 3.3637032E+2	
 7.2401397E+7,	-2.5007175E+0,	 3.3561555E+2	
 7.2401537E+7,	-2.4905931E+0,	 3.4412557E+2	
 7.2401677E+7,	-2.4804687E+0,	 3.5709575E+2	
 7.2401817E+7,	-2.4703444E+0,	 3.7195653E+2	
 7.2401957E+7,	-2.4602200E+0,	 3.9743528E+2	
 7.2402098E+7,	-2.4500957E+0,	 4.3379825E+2	
 7.2402238E+7,	-2.4399713E+0,	 4.8496580E+2	
 7.2402378E+7,	-2.4298469E+0,	 5.4278213E+2	
 7.2402518E+7,	-2.4197226E+0,	 6.0099167E+2	
 7.2402661E+7,	-2.4095982E+0,	 6.5263313E+2	
 7.2402801E+7,	-2.3994739E+0,	 6.9655842E+2	
 7.2402946E+7,	-2.3893495E+0,	 7.3270154E+2	
 7.2403086E+7,	-2.3792251E+0,	 7.6148266E+2	
 7.2403226E+7,	-2.3691008E+0,	 7.8079629E+2	
 7.2403366E+7,	-2.3589764E+0,	 7.8728139E+2	
 7.2403506E+7,	-2.3488520E+0,	 7.8461653E+2	
 7.2403646E+7,	-2.3387277E+0,	 7.7807277E+2	
 7.2403786E+7,	-2.3286033E+0,	 7.6681238E+2	
 7.2403926E+7,	-2.3184790E+0,	 7.4075234E+2	
 7.2404066E+7,	-2.3083546E+0,	 7.0861751E+2	
 7.2404211E+7,	-2.2982302E+0,	 6.8345141E+2	
 7.2404351E+7,	-2.2881059E+0,	 6.5649736E+2	
 7.2404491E+7,	-2.2779815E+0,	 6.2669516E+2	
 7.2404631E+7,	-2.2678571E+0,	 5.9482169E+2	
 7.2404771E+7,	-2.2577328E+0,	 5.6438935E+2	
 7.2404911E+7,	-2.2476084E+0,	 5.3117245E+2	
 7.2405056E+7,	-2.2374841E+0,	 4.9759647E+2	
 7.2405196E+7,	-2.2273597E+0,	 4.6510747E+2	
 7.2405337E+7,	-2.2172353E+0,	 4.2776012E+2	
 7.2405477E+7,	-2.2071110E+0,	 3.8976061E+2	
 7.2405617E+7,	-2.1969866E+0,	 3.6627993E+2	
 7.2405757E+7,	-2.1868622E+0,	 3.5199806E+2	
 7.2405897E+7,	-2.1767379E+0,	 3.4608209E+2	
