Temps___(ms):,	Pos.cal.(um):,	Tension_(mV):	
 7.5787472E+7,	-4.4456075E+1,	 1.9540791E+2	
 7.5787517E+7,	-4.4445950E+1,	 1.7098193E+2	
 7.5787563E+7,	-4.4435826E+1,	 2.0762090E+2	
 7.5787608E+7,	-4.4425702E+1,	 1.0991696E+2	
 7.5787653E+7,	-4.4415577E+1,	 9.7703956E+1	
 7.5787698E+7,	-4.4405453E+1,	 9.2818759E+1	
 7.5787744E+7,	-4.4395328E+1,	 9.2818759E+1	
 7.5787789E+7,	-4.4385204E+1,	 8.7933563E+1	
 7.5787834E+7,	-4.4375080E+1,	 8.7933563E+1	
 7.5787879E+7,	-4.4364955E+1,	 1.0258915E+2	
 7.5787924E+7,	-4.4354831E+1,	 1.5388373E+2	
 7.5787969E+7,	-4.4344707E+1,	 2.0762090E+2	
 7.5788015E+7,	-4.4334582E+1,	 2.7845627E+2	
 7.5788060E+7,	-4.4324458E+1,	 3.4196386E+2	
 7.5788105E+7,	-4.4314334E+1,	 4.4699562E+2	
 7.5788151E+7,	-4.4304209E+1,	 4.5920861E+2	
 7.5788196E+7,	-4.4294085E+1,	 5.1783097E+2	
 7.5788242E+7,	-4.4283960E+1,	 6.0576451E+2	
 7.5788287E+7,	-4.4273836E+1,	 6.6682953E+2	
 7.5788333E+7,	-4.4263712E+1,	 7.3277968E+2	
 7.5788378E+7,	-4.4253587E+1,	 8.0361503E+2	
 7.5788422E+7,	-4.4243463E+1,	 8.5490960E+2	
 7.5788468E+7,	-4.4233339E+1,	 8.4758180E+2	
 7.5788513E+7,	-4.4223214E+1,	 9.2330241E+2	
 7.5788559E+7,	-4.4213090E+1,	 9.7948217E+2	
 7.5788604E+7,	-4.4202966E+1,	 1.0014656E+2	
 7.5788650E+7,	-4.4192841E+1,	 9.4772840E+2	
 7.5788695E+7,	-4.4182717E+1,	 9.0376163E+2	
 7.5788741E+7,	-4.4172592E+1,	 8.2071322E+2	
 7.5788786E+7,	-4.4162468E+1,	 7.4743527E+2	
 7.5788832E+7,	-4.4152344E+1,	 7.3522228E+2	
 7.5788877E+7,	-4.4142219E+1,	 6.3996094E+2	
 7.5788921E+7,	-4.4132095E+1,	 5.9843671E+2	
 7.5788967E+7,	-4.4121971E+1,	 4.8851979E+2	
 7.5789012E+7,	-4.4111846E+1,	 4.1035661E+2	
 7.5789058E+7,	-4.4101722E+1,	 2.5891548E+2	
 7.5789103E+7,	-4.4091598E+1,	 1.8563752E+2	
 7.5789149E+7,	-4.4081473E+1,	 1.3190034E+2	
 7.5789194E+7,	-4.4071349E+1,	 1.0258915E+2	
 7.5789240E+7,	-4.4061224E+1,	 8.7933563E+1	
 7.5789285E+7,	-4.4051100E+1,	 8.7933563E+1	
 7.5789335E+7,	-4.4040976E+1,	 1.9540791E+2	
 7.5789380E+7,	-4.4030851E+1,	 1.8075232E+2	
 7.5789425E+7,	-4.4020727E+1,	 2.1006350E+2	
 7.5789471E+7,	-4.4010603E+1,	 2.4181730E+2	
