Temps___(ms):, Pos.cal.(�m):, Tension_(mV):
 8.4319202E+7, -5.2150590E+1, 5.1142162E+2
 8.4319362E+7, -5.2099968E+1, 5.1560819E+2
 8.4319522E+7, -5.2049346E+1, 5.0674158E+2
 8.4319682E+7, -5.1998724E+1, 4.9720567E+2
 8.4319842E+7, -5.1948103E+1, 4.9825600E+2
 8.4320002E+7, -5.1897481E+1, 5.0783587E+2
 8.4320162E+7, -5.1846859E+1, 5.1450413E+2
 8.4320322E+7, -5.1796237E+1, 5.0864679E+2
 8.4320482E+7, -5.1745615E+1, 4.9833903E+2
 8.4320642E+7, -5.1694994E+1, 5.0101125E+2
 8.4320802E+7, -5.1644372E+1, 5.1035661E+2
 8.4320962E+7, -5.1593750E+1, 5.1409870E+2
 8.4321122E+7, -5.1543128E+1, 5.1280409E+2
 8.4321282E+7, -5.1492506E+1, 5.0270641E+2
 8.4321442E+7, -5.1441885E+1, 5.0219834E+2
 8.4321602E+7, -5.1391263E+1, 5.0672203E+2
 8.4321762E+7, -5.1340641E+1, 5.0933564E+2
 8.4321922E+7, -5.1290019E+1, 5.1003909E+2
 8.4322082E+7, -5.1239397E+1, 5.0440156E+2
 8.4322242E+7, -5.1188776E+1, 4.9957499E+2
 8.4322402E+7, -5.1138154E+1, 5.0387883E+2
 8.4322562E+7, -5.1087532E+1, 5.1190037E+2
 8.4322722E+7, -5.1036910E+1, 5.1112849E+2
 8.4322882E+7, -5.0986288E+1, 5.0527602E+2
 8.4323042E+7, -5.0935666E+1, 4.9659503E+2
 8.4323202E+7, -5.0885045E+1, 5.0404984E+2
 8.4323362E+7, -5.0834423E+1, 5.1243281E+2
 8.4323522E+7, -5.0783801E+1, 5.0851977E+2
 8.4323682E+7, -5.0733179E+1, 4.9800685E+2
 8.4323842E+7, -5.0682557E+1, 4.9847582E+2
 8.4324002E+7, -5.0631936E+1, 5.0488031E+2
 8.4324162E+7, -5.0581314E+1, 5.0929654E+2
 8.4324322E+7, -5.0530692E+1, 5.0823158E+2
 8.4324482E+7, -5.0480070E+1, 5.0074744E+2
 8.4324642E+7, -5.0429448E+1, 5.0016612E+2
 8.4324802E+7, -5.0378827E+1, 5.0813383E+2
 8.4324962E+7, -5.0328205E+1, 5.0889593E+2
 8.4325122E+7, -5.0277583E+1, 5.0678557E+2
 8.4325282E+7, -5.0226961E+1, 4.9907181E+2
 8.4325442E+7, -5.0176339E+1, 4.9772349E+2
 8.4325602E+7, -5.0125717E+1, 5.0804591E+2
 8.4325762E+7, -5.0075096E+1, 5.1313144E+2
 8.4325922E+7, -5.0024474E+1, 5.0957990E+2
 8.4326082E+7, -4.9973852E+1, 5.0367856E+2
 8.4326242E+7, -4.9923230E+1, 4.9968246E+2
 8.4326402E+7, -4.9872608E+1, 5.0381047E+2
 8.4326562E+7, -4.9821987E+1, 5.1145089E+2
 8.4326722E+7, -4.9771365E+1, 5.0863212E+2
 8.4326882E+7, -4.9720743E+1, 5.0319004E+2
 8.4327042E+7, -4.9670121E+1, 4.9562287E+2
 8.4327202E+7, -4.9619499E+1, 5.0404495E+2
 8.4327362E+7, -4.9568878E+1, 5.1180261E+2
 8.4327522E+7, -4.9518256E+1, 5.1030290E+2
 8.4327682E+7, -4.9467634E+1, 4.9915487E+2
