lambda, A
913.00,	139.69
914.00,	139.10
915.00,	144.13
916.00,	143.57
917.00,	144.00
918.00,	140.53
919.00,	145.17
920.00,	142.42
921.00,	140.27
922.00,	140.37
923.00,	143.97
924.00,	145.28
925.00,	136.29
926.00,	140.13
927.00,	140.93
928.00,	142.89
929.00,	141.68
930.00,	141.24
931.00,	145.42
932.00,	142.74
933.00,	142.94
934.00,	141.58
935.00,	141.38
936.00,	143.47
937.00,	141.08
938.00,	142.80
939.00,	141.11
940.00,	143.79
941.00,	142.99
942.00,	140.33
943.00,	144.54
944.00,	144.89
945.00,	141.15
946.00,	141.79
947.00,	141.69
948.00,	139.41
949.00,	139.18
950.00,	142.12
951.00,	139.43
952.00,	140.86
953.00,	139.60
954.00,	140.20
955.00,	143.59
956.00,	143.70
957.00,	143.99
958.00,	140.33
959.00,	140.86
960.00,	139.80
961.00,	141.53
962.00,	143.98
963.00,	140.17
964.00,	141.92
965.00,	140.75
966.00,	137.97
967.00,	138.95
968.00,	138.17
969.00,	142.87
970.00,	143.98
971.00,	142.49
972.00,	140.57
973.00,	141.23
974.00,	141.97
975.00,	139.85
976.00,	140.95
977.00,	142.28
978.00,	140.93
979.00,	143.03
980.00,	143.18
981.00,	142.07
982.00,	143.22
983.00,	144.01
984.00,	138.90
985.00,	142.84
986.00,	139.79
987.00,	144.06
988.00,	142.61
989.00,	141.02
990.00,	139.84
991.00,	140.74
992.00,	142.96
993.00,	140.48
994.00,	140.86
995.00,	141.32
996.00,	139.83
997.00,	142.68
998.00,	143.75
999.00,	143.60
1000.00, 140.03
